الكلمة,التشكيل,له_صورة,له_صوت,اسم,فعل,حرف,التحليل,اين-وردت,جملة   ,نوع-الجملة,الوزن-الصرفي,مصروف-ممنوع,المستوى-العمري,الدولة,المصدر,اضافة-ال,نوع-الفعل-ماض-مضارع-امر,صحيح-معتل-الاول-الوسط-الاخر,ID
آلاء,آلاء,,,1,,,آ-لا-ءٌ,4H6,,,,,,,,,,,
اتجاه,اتِّجاه,,,1,,,اتـ-تِـ-جا-هٌ,4H8 - 4H9,,,,,,,,,,,
اجتماع,اجْـتِماع,,,1,,,اجْـ-تِـ-ما-عٌ,4H2,,,,,,,,,,,
اختراع,اخْتِراع,,,1,,,اخْـ-تِـ-را-عٌ,kg2 -2H4,,,,,,,,,,,
أزهار,أَزْهار,,,1,,,أَزْ-ها-رٌ,2H5,,,,,,,,,,,
استراح,اسْـتَراحَ,,,1,,,اسْـ-تَـ-را-حَ,4H4,,,,,,,,,,,
استراحة,اسْتِراحَة,,,1,,,اسْـ-تِـ-را-حَـ-ـةٌ,2H17,,,,,,,,,,,
استيقاظ,اسْـتيْقاظ,,,1,,,اسْـ-تـيـ-قا-ظٌ,2H2 -4H8-4H9,,,,,,,,,,,
طائر,طائِر,,,1,,,طا-ئِـ-ر,2H17,,,,,,,,,,,
انتباه,انْتِباه,,,1,,,انْـ-تِـ-با-هٌ,KG1-kg2-1H4,,,,,,,,,,,
انفعال,انْفِعال,,,1,,,انْـ-فِـ-ـعا-لٌ,4H2-2H17,,,,,,,,,,,
إبرة,إِبْـرَة,,,1,,,إِبْـ-رَ-ةٌ,KG1-1H6,,,,,,,,,,,
إبريق,إِبْـريق,,,1,,,إِبْـ-ر-يـ-قٌ,KG1-1H6-1H7,,,,,,,,,,,
إجاص,إِجّاص,,,1,,,إِجْـ-جا-صٌ,KG1-1H6-4H8-1H4-4H1,,,,,,,,,,,
إسعاف,إِسْـعاف,,,1,,,إٍسْـ-ـعا-فٌ,KG1-1H6,,,,,,,,,,,
