ID,Arabic,English,Spanish,,
Menu1,قِصَص آدم و الأصدقاء,Adam,,,
Menu2,صَباحُ الخَيْر,Good Morning,,,
Menu3,قِصَّتي الْمَرِحَة,My Exciting Story,,,
Menu4,لَوْحَتي ألَوِّنُها,My Drawing Color,,,
Menu5,غُرْفَةُ الْمُفاجآت,Chamber Of Surprises,,,
Menu6,لعبتي المرحة,,,,
Menu7,دائرة ودائرة,,,,
Menu8,رسم الحروف,,,,
Menu9,أين شكلي ؟,,,,
Menu10,أحلل وأركب,,,,
Exit,خروج,Log Out,,,
Parents,أولياء الأمور,parents,,,
MomentPLZ,لَحْظَة لَوْ سَمَحْتْ,One Moment Please,,,
MomentPLZ2,جاري تجهيز نسخة طفلك بناء على الاختيارات اللغوية التي حددتها المعلمة هذا الأسبوع.,"Currently customizing your child's version, according to teachers plan for this week.",,,
TT1,,,,,
TT2,دعونا نتعرف إلى مشاعرنا هذا الصباح ;اسأل طفلك عن شعوره هذا اليوم  ; دع طفلك يختار شعوره ;اطلب من طفلك أن يعبر دائمًا عن شعوره,Lets identify our feelings today;Ask your child about his/her feeling today ;Let the child choose his/her feeling;Ask your child to express his feelings on daily basis;,,,
TT3,دع طفلك يتذكر أسماء مفردات القصة ;دع طفلك يرسم القصة ;انقر على البطة للرسم والتلوين ;اطلب من طفلك أن يروي لك القصة ,Let your child recall the names in story;Let your child tell the story by drawing it;Click on the duck icon to start colouring;Ask your child to tell a story;,,,
TT4,دع طفلك يستمتع بتلوين لوحة من لوحات القصة ;انقر على البطة للرسم والتلوين ;اطلب من طفلك أن يتحدث لك عن هذه اللوحة بلغة سليمة ;,Let your child colour the story drawing;Click on the duck icon to start colouring;Ask you child to talk about the drawing in proper Arabic;,,,
TT5,دع طفلك ينقر على الصور أمامه ليعرف أسمائها ;دع طفلك يكون قصة جميلة من الصور الثلاث ; ساعد طفلك في رواية القصة بلغة سليمة ;دائمًا أطلق العنان لأفكار وخيال طفلك,Let your child click on the pictures to get to know the names of the objects/characters;Let your child create a story using the three pictures;Help your child to tell the story in proper Arabic;Try to unleash your child’s imagination in making stories;,,,
TT6,مرن طفلك على اختيار الصور والرموز المتطابقة ;حفز طفلك على الانتقال إلى مستويات متقدمة,Train your child to choose pictures with matching letters;Motivate your child to improve to higher score levels;Let your child enjoy the memory game although its stages;,,,
TT7,دع طفلك يستمتع بلعبة الذاكرة بمراحلها, Let your child enjoy The Memory Game with its different levels;,,,
TT8,3333,,,,
TT9,ساعد طفلك في وضع الصور المطابقة في الدائرة الكبيرة وغير المطابقة في السلة; حفز طفلك على تحقيق نقاط أعلى والانتقال إلى مستويات متقدمة,Help your child in placing the matching pictures inside the circle and the rest in the bin;Motivate your child to improve to higher score levels;,,,
TT10,5555,,,,
TT11,66666,,,,
TT12,77777,,,,
TT13,88888,,,,
TT14,99999,,,,
TT15,10 10 10 10 10 10 ,,,,
TT16,11 11 11 11 11 11 ,,,,
TT17,12 12 12 12 12 12 ,,,,
TT18,13 13 13 13 13 13 ,,,,
TT19,14 14 14 14 14 14 ,,,,
TT20,14 14 14 14 14 14 ,,,,
HelpMe,أرشدني هُنا,Guide Me,,,
